Hotel,Score,Sentiment,Review_Final,Label
KHÁCH SẠN THE MYST ĐỒNG KHỞI,10,Tích cực,cách phố đi nguyễn huệ 200 m vincom đồng_khởi phong_phú mặt_hàng quán sạch_sẽ phong_phú tiện kể_cả khu_phố xung_quanh quán hàn nhật âu ngon,{Vệ sinh#Tích cực}; {Vị trí#Tích cực}
KHÁCH SẠN THE MYST ĐỒNG KHỞI,10,Tích cực,chuyến đi tuần_trăng_mật không_thể khen khách_sạn nhân_viên tuyệt đặc_biệt long giúp chúng_tôi thủ_tục phòng giải_thích khách_sạn một_cách chi_tiết chuẩn_bị trang_trí tuyệt_vời phòng tặng hoa_hồng bánh miễn_phí bữa trà chiều không kinh_ngạc hai tuyệt_vời món ngon_miệng phòng tuyệt giường thoải_mái thiết_kế kết_hợp hiện_đại truyền_thống một_cách hoàn_hảo hồ jacuzzi ngoài_trời tuyệt_vời thư_giãn thưởng_thức cảnh thành_phố hồ bơi tuyệt cung_cấp sauna phòng xông_hơi miễn_phí khách_sạn gần khu mua_sắm gần nhà_hát thành_phố đối_với khách_sạn giá_trị tiền,{Vệ sinh#Trung lập}; {Vị trí#Tích cực}; {Dịch vụ#Tích cực}; {Cơ sở vật chất#Tích cực}; {Giá cả#Tích cực}
KHÁCH SẠN THE MYST ĐỒNG KHỞI,"9,6",Tích cực,khách_sạn không_khí boutique dễ_thương vị_trí trung_tâm tuyệt_vời tất_cả khu_vực 1 khoảng_cách đi ngắn cửa_hàng tiện_lợi cạnh mua đồ bữa bữa thực_sự phong_phú lựa_chọn tất_cả ngon tươi tuyệt cà_phê hơi thất_vọng hỗn_hợp robusta nhưng chỉ_trích duy_nhất bể_bơi bơi_lội một_chút phòng xông_hơi ướt sauna miễn_phí tất_cả chúng_tôi thích,{Vị trí#Tích cực}; {Cơ sở vật chất#Tích cực}
KHÁCH SẠN THE MYST ĐỒNG KHỞI,"9,2",Tích cực,chúng_tôi kỳ nghỉ dễ_chịu the myst vị_trí tuyệt_vời cửa_hàng nhà_hàng gần không_khí kết_hợp hiện_đại truyền_thống việt nam sảnh khách_sạn được trang_trí nghệ_thuật giá_trị không_gian nhân_viên nhiệt_tình chúng_tôi phòng chúng_tôi cảm_kích chuẩn_bị bánh sinh_nhật miễn_phí khu_vực bữa món không thực_đơn có_thể gọi miễn_phí máy pha cà_phê bồn_tắm ban_công tuyệt_vời tặng chúng_tôi quà lưu_niệm chúng_tôi thủ_tục phòng cảm_ơn the_myst,{Vệ sinh#Trung lập}; {Vị trí#Tích cực}; {Dịch vụ#Tích cực}; {Cơ sở vật chất#Tích cực}; {Giá cả#Trung lập}
KHÁCH SẠN THE MYST ĐỒNG KHỞI,"7,6",Trung lập,vợ_chồng phòng chúng_tôi tình_cờ chính_xác phòng chúng_tôi năm_ngoái tổ_chức đám_cưới khách_sạn nói_chuyện phụ_nữ quản_lý quầy xác_nhận liệu chúng_tôi phòng không kiểm_tra có_thể phòng lần lưu_trú không hạng phòng không phòng thay_đổi vì_vậy thông_báo vợ vợ kiểm_tra phòng năm_ngoái phát_hiện chúng_tôi hạ hạng phòng rẻ nói_chuyện quản_lý lần cuối_cùng chúng_tôi được hạng phòng trông giống_hệt hình danh_sách hôm chúng_tôi phòng quản_lý xin_lỗi phòng chúng_tôi chưa được dọn_dẹp nói_chuyện vấn_đề thời_gian phòng 12 trưa chúng_tôi phòng vào_khoảng 3 chiều thời_gian dọn_dẹp phòng vì_vậy nói_dối có_thể trung_thực đầu hạ hạng có_thể chờ một_chút dọn_dẹp chúng_tôi kiểm_tra phòng năm_ngoái chúng_tôi lừa quan_trọng kiểm_tra hình_ảnh đảm_bảo được đừng tin_tưởng nhân_viên một_cách mù_quáng,{Vệ sinh#Tiêu cực}; {Vị trí#Trung lập}; {Dịch vụ#Tiêu cực}; {Cơ sở vật chất#Tiêu cực}; {Giá cả#Tiêu cực}
KHÁCH SẠN THE MYST ĐỒNG KHỞI,"7,2",Trung lập,thăm hồ chí minh lần nhưng lần đầu_tiên lưu_trú khách_sạn không vẻ tưởng_tượng vẻ hơi khách_sạn xung_quanh phòng mong được tầng nhưng phòng tầng ban_công tường cạnh tiếc khách_sạn sạch_sẽ hoa tươi cây_cảnh trang_trí khắp cảm_giác khách_sạn dễ_thương được thiết_kế cổ_điển đội_ngũ nhân_viên thân_thiện nhiệt_tình nhưng không giải_thích chi_tiết chờ quầy lễ_tân phòng không tài_liệu giải_thích rõ_ràng khó_khăn sử_dụng bữa được phục_vụ tầng 12 phòng lạnh ăn_ở ngoài_trời gió dễ_chịu cảm_thấy thư giãn mặc_dù số_lượng món ăn_không nhưng bánh ngon lưu_trú riverside renaissance majestic vì_vậy không so_sánh nhưng đối_với lần đầu khách_sạn tuyệt_vời,{Vệ sinh#Tích cực}; {Vị trí#Trung lập}; {Dịch vụ#Tích cực}; {Cơ sở vật chất#Tích cực}; {Giá cả#Trung lập}
KHÁCH SẠN THE MYST ĐỒNG KHỞI,"9,2",Tích cực,dịch_vụ hành_lý nửa_đêm hiển_nhiên nhân_viên nam gần cửa hướng_dẫn cách sử_dụng ứng_dụng gọi xe grab lần đầu_tiên sử_dụng một_cách tận_tình thật_sự thân_thiện bồn_tắm nóng ban_công phòng gym hồ bơi thoải_mái khuyến_khích,{Vị trí#Trung lập}; {Dịch vụ#Tích cực}; {Cơ sở vật chất#Tích cực}
KHÁCH SẠN THE MYST ĐỒNG KHỞI,"9,6",Tích cực,khuyến_khích the myst bất_kỳ thăm sài_gòn khách_sạn phong_cách boutique kết_hợp yếu_tố kiến_trúc được tuyển_chọn tinh_tế dịch_vụ khách_hàng xa mong_đợi bữa phong_phú chờ đón kết_hợp ẩm_thực truyền_thống việt_nam lựa_chọn quốc_tế trứng trứng_cá bánh_cuốn được ngon trà chiều miễn_phí kèm nhạc_sống cung_cấp món đồ uống được coi bữa đầy_đủ the myst trở_thành giá_trị tuyệt_vời bữa the nest trở_nên tuyệt_vời thiết_kế không_gian hợp_lý trần ánh_sáng tự_nhiên cây_cối hoa_lá không_gian trở_nên sinh_động phòng signature suite sài_gòn chúng_tôi được trang_bị đầy_đủ áo_choàng dép đồ_dùng cá_nhân đồ gốm nội_thất trang_trí chất_lượng phòng cảm_giác độc_đáo ấm_cúng bồn_tắm jacuzzi sân_thượng cộng tuyệt_vời phòng ấn_tượng the myst lần chứng_minh tại_sao thích khách_sạn boutique lựa_chọn sang_trọng chuỗi khách_sạn trải nghiệm thoải_mái như_vậy giá không_thể được tái_tạo khách_sạn sang_trọng,{Vệ sinh#Trung lập}; {Vị trí#Trung lập}; {Dịch vụ#Tích cực}; {Cơ sở vật chất#Tích cực}; {Giá cả#Tích cực}
KHÁCH SẠN THE MYST ĐỒNG KHỞI,"7,2",Trung lập,book phòng khách_sạn 1 phòng đôi đồng_khởi không bữa tầm 3 tr3 đêm mô_tả hiển_thị dòng chữ màu đen phòng đôi đồng_khởi bao_gồm bữa tầm 3 tr8 đêm mô_tả hiển_thị dòng chữ màu xanh lá khách_sạn tiện cho_nên chắc_chắn lọc phòng đôi đồng_khởi giá 3 tr8 đêm dòng mô_tả màu xanh lá khách_sạn checkin phòng cầm_hơi đồ nhưng không nhân_viên đỡ hộ thậm_chí không chỗ đợi checkin không welcome drink tạm quầy tư_vấn nhân_viên nhưng không cảm_thấy khó_chịu lắm thực_sự bất_ngờ nhân_viên lễ_tân thông_báo phòng room only không bao_gồm chắc_chắn phòng bao_gồm nhân_viên lễ_tân hôm trao_đổi agoda không charge 1 tr4 2 không cuối_cùng agoda khách_sạn không giải_quyết thắc_mắc giúp phản_hồi đặc_biệt dịch_vụ khách_hàng agoda tệ được cách liên_lạc tổng_đài_viên máy 15 phút được nhưng không giải_quyết được tối gọi không tổng_đài_viên tiếng việt có_nhân_viên tiếng nhưng nhân_viên ấn độ nói_chuyện thái_độ không vẻ helpful thẻ phòng khách_sạn 1 tr hoàn phòng chưa phòng gần 2 h chiều nhà_hàng the nest tầng 12 trà chiều thực_sự trà chiều không đặc_sắc món ăn_không đa_dạng không ngon đầu_tiên tiệc_trà 3 chè đậu_đen nồi được vét đáy nồi được 1 chén chè lưng nhân_viên refill chè xong đem nồi chè cất không refill có_nghĩa_là trà chiều giá mua_lẻ 400 không 1 nồi chè đậu_đen duy_nhất được 3 chén lưng trà chiều chạo tôm công_nghiệp rẻ_tiền không ngon bột trái_cây bình_thường thanh_long dưa_hấu refill bánh waffle ngon uống không đặc_sắc nói_chung vé trà chiều 100 không không mua 3 pm phòng nói_chung phòng_ốc rộng_rãi đẹp tiện_nghi thoải_mái note phòng tầm sông sài_gòn phòng góc cảm_ơn nhưng có_điều khách_sạn 5 nhưng sản_phẩm chăm_sóc cơ_thể dầu_gội không được cao_cấp lắm gội đầu xong tóc khô chất tẩy đi dạo quanh khách_sạn đi bơi tầng thượng nói_chung hồ bơi phòng gym thiết_bị thiết_bị cũ_kĩ lỗi_thời khách_sạn 5 tối bàn mời dùng_bữa nhà_hàng the nest gọi món nhưng món chậm đợi 15 phút giá không đắt nhưng thức_ăn món tạm ổn nhà_hàng không đông nhưng nhân_viên tầm 7 phục_vụ chậm chúng_tôi đồ nhưng cơm kêu đầu chưa đem khâu tiền đợi 20 phút sai_số_lượng món quản_lý nhà_hàng việt nói_chung nói_chuyện vui_vẻ cố_gắng tỏ helpful nhưng dịch_vụ nhà_hàng thật_sự vấn_đề được tập_huấn book phòng khách_sạn review mạng 1 tiktoker kì nghỉ ngắn lòng_thành_phố ki,{Vệ sinh#Tiêu cực}; {Vị trí#Tích cực}; {Dịch vụ#Tiêu cực}; {Cơ sở vật chất#Tiêu cực}; {Giá cả#Tiêu cực}
KHÁCH SẠN THE MYST ĐỒNG KHỞI,10,Tích cực,được đánh_giá khách_sạn thật_sự hài_lòng mini bar phòng trà chiều miễn_phí phòng sạch_sẽ rộng_rãi bồn_tắm sục gần đường đồng_khởi vị_trí tiện_lợi nhân_viên tất_cả thân_thiện lần,{Vệ sinh#Tích cực}; {Vị trí#Tích cực}; {Dịch vụ#Tích cực}; {Cơ sở vật chất#Tích cực}; {Giá cả#Trung lập}
